Threshold	Direction	Percentage
0	% Increased	0.763752455795678
0.05	% Increased	0.763752455795678
0.1	% Increased	0.763752455795678
0.15	% Increased	0.763752455795678
0.2	% Increased	0.763752455795678
0.25	% Increased	0.763752455795678
0.3	% Increased	0.763752455795678
0.35	% Increased	0.762937407589946
0.4	% Increased	0.760815514669319
0.45	% Increased	0.754341164453524
0.5	% Increased	0.746568109820486
0.55	% Increased	0.737045203969129
0.6	% Increased	0.717780429594272
0.65	% Increased	0.70344387755102
0.7	% Increased	0.673928830791576
0.75	% Increased	0.655686274509804
0.8	% Increased	0.622047244094488
0.85	% Increased	0.570686070686071
0.9	% Increased	0.537296037296037
0.95	% Increased	0.490437158469945
1	% Increased	0.459909228441755
1.05	% Increased	0.426174496644295
1.1	% Increased	0.387218045112782
1.15	% Increased	0.33184855233853
1.2	% Increased	0.304668304668305
1.25	% Increased	0.282722513089005
1.3	% Increased	0.268436578171091
1.35	% Increased	0.243506493506494
1.4	% Increased	0.225563909774436
1.45	% Increased	0.205761316872428
1.5	% Increased	0.195555555555556
1.55	% Increased	0.2
1.6	% Increased	0.18232044198895
1.65	% Increased	0.184713375796178
1.7	% Increased	0.183098591549296
1.75	% Increased	0.150793650793651
1.8	% Increased	0.12621359223301
1.85	% Increased	0.104651162790698
1.9	% Increased	0.103896103896104
1.95	% Increased	0.1
2	% Increased	0.101694915254237
2.05	% Increased	0.130434782608696
2.1	% Increased	0.0930232558139535
2.15	% Increased	0.0857142857142857
2.2	% Increased	0.0909090909090909
2.25	% Increased	0.107142857142857
2.3	% Increased	0.130434782608696
2.35	% Increased	0.15
2.4	% Increased	0.142857142857143
2.45	% Increased	0
2.5	% Increased	0
2.55	% Increased	0
2.6	% Increased	0
2.65	% Increased	0
2.7	% Increased	0
2.75	% Increased	0
2.8	% Increased	
2.85	% Increased	
2.9	% Increased	
2.95	% Increased	
3	% Increased	
0	% Decreased	0.236247544204322
0.05	% Decreased	0.236247544204322
0.1	% Decreased	0.236247544204322
0.15	% Decreased	0.236247544204322
0.2	% Decreased	0.236247544204322
0.25	% Decreased	0.236247544204322
0.3	% Decreased	0.236247544204322
0.35	% Decreased	0.237062592410054
0.4	% Decreased	0.239184485330681
0.45	% Decreased	0.245658835546476
0.5	% Decreased	0.253431890179514
0.55	% Decreased	0.262954796030871
0.6	% Decreased	0.282219570405728
0.65	% Decreased	0.29655612244898
0.7	% Decreased	0.326071169208424
0.75	% Decreased	0.344313725490196
0.8	% Decreased	0.377952755905512
0.85	% Decreased	0.429313929313929
0.9	% Decreased	0.462703962703963
0.95	% Decreased	0.509562841530055
1	% Decreased	0.540090771558245
1.05	% Decreased	0.573825503355705
1.1	% Decreased	0.612781954887218
1.15	% Decreased	0.66815144766147
1.2	% Decreased	0.695331695331695
1.25	% Decreased	0.717277486910995
1.3	% Decreased	0.731563421828909
1.35	% Decreased	0.756493506493507
1.4	% Decreased	0.774436090225564
1.45	% Decreased	0.794238683127572
1.5	% Decreased	0.804444444444444
1.55	% Decreased	0.8
1.6	% Decreased	0.81767955801105
1.65	% Decreased	0.815286624203822
1.7	% Decreased	0.816901408450704
1.75	% Decreased	0.849206349206349
1.8	% Decreased	0.87378640776699
1.85	% Decreased	0.895348837209302
1.9	% Decreased	0.896103896103896
1.95	% Decreased	0.9
2	% Decreased	0.898305084745763
2.05	% Decreased	0.869565217391304
2.1	% Decreased	0.906976744186047
2.15	% Decreased	0.914285714285714
2.2	% Decreased	0.909090909090909
2.25	% Decreased	0.892857142857143
2.3	% Decreased	0.869565217391304
2.35	% Decreased	0.85
2.4	% Decreased	0.857142857142857
2.45	% Decreased	1
2.5	% Decreased	1
2.55	% Decreased	1
2.6	% Decreased	1
2.65	% Decreased	1
2.7	% Decreased	1
2.75	% Decreased	1
2.8	% Decreased	
2.85	% Decreased	
2.9	% Decreased	
2.95	% Decreased	
3	% Decreased	
